"Class","Compound","gene","change_freq","change_int","Cell_line"
"DNMT","S-Adenosylhomocysteine","Rab7a",-0.158890622216807,0.11962200853005,"MCF7"
"DNMT","S-Adenosylhomocysteine","RhoA",-0.03026386538326,0.16605771869917,"MCF7"
"DNMT","S-Adenosylhomocysteine","Rpap3",-0.107148071278655,-0.083608396494273,"MCF7"
"DNMT","S-Adenosylhomocysteine","Sec16a",0.24145422017763,-0.00636594310652605,"MCF7"
"DNMT","S-Adenosylhomocysteine","Slc2a1",-0.406618548430434,1.00244583440514,"MCF7"
"Methylase","UNC0224","Canx",-0.027237334787124,0.01313942273822,"MCF7"
"Methylase","UNC0224","Dnajc5",-0.044011761091293,0.00117419936662011,"MCF7"
"Methylase","UNC0224","Egfr",0.00399419094948006,-0.0196166786140189,"MCF7"
"Methylase","UNC0224","Errfi1",0.20893283303963,0.15014667789336,"MCF7"
"Methylase","UNC0224","Gapdh",-0.121119339076622,-0.030949251591098,"MCF7"
"Methylase","UNC0224","Kpnb1",-0.046553423115184,-0.017335114413326,"MCF7"
"Methylase","UNC0224","Myc",0.02737239438157,0.1263979579791,"MCF7"
"Methylase","UNC0224","Nras",0.41673766922276,0.14706031408305,"MCF7"
"Methylase","UNC0224","P53",0.25791122675858,0.0653213975053899,"MCF7"
"Methylase","UNC0224","Rab7a",-0.066387430627606,-0.00104627729071605,"MCF7"
"Methylase","UNC0224","RhoA",-0.011990613553114,0.16897599631784,"MCF7"
"Methylase","UNC0224","Rpap3",0.12389868425856,-0.054892960345083,"MCF7"
"Methylase","UNC0224","Sec16a",0.18646675872953,0.0192030517564401,"MCF7"
"Methylase","UNC0224","Slc2a1",-0.21663846515037,0.61288214580788,"MCF7"
"HDAC","Chidamide","Canx",-0.298378622533997,-0.119469490692487,"MCF7"
"HDAC","Chidamide","Dnajc5",-0.31438929380787,-0.065646177708211,"MCF7"
"HDAC","Chidamide","Egfr",0.09928766159529,0.0533248923521299,"MCF7"
"HDAC","Chidamide","Errfi1",0.19159141091826,-0.014082589472202,"MCF7"
"HDAC","Chidamide","Gapdh",-0.120824772178606,-0.07127334409937,"MCF7"
"HDAC","Chidamide","Kpnb1",-0.406824769142944,-0.13989985563313,"MCF7"
"HDAC","Chidamide","Myc",0.0281442593567001,-0.0256427324960899,"MCF7"
"HDAC","Chidamide","Nras",-0.242099833314759,-0.028110991667789,"MCF7"
"HDAC","Chidamide","P53",-0.308061930286554,-0.013091115540963,"MCF7"
"HDAC","Chidamide","Rab7a",-0.113234540022748,-0.17987321548994,"MCF7"
"HDAC","Chidamide","RhoA",-0.072562898380234,0.0387811854473401,"MCF7"
"HDAC","Chidamide","Rpap3",-0.027040716571773,-0.092523820773945,"MCF7"
"HDAC","Chidamide","Sec16a",-0.137176872287822,-0.069466368266424,"MCF7"
"HDAC","Chidamide","Slc2a1",0.0148004911816,0.33800690216894,"MCF7"
