"Class","Compound","gene","change_het","change_int","Cell_line"
"HDAC","Tubacin","Dnajc5",0.15109832355565,0.0361704878772,"MCF7"
"HDAC","Tubacin","Egfr",0.14497846848622,0.0159029656818599,"MCF7"
"HDAC","Tubacin","Errfi1",-0.131790152319375,0.00258300908073994,"MCF7"
"HDAC","Tubacin","Gapdh",0.0568491634670101,0.0398259495809701,"MCF7"
"HDAC","Tubacin","Kpnb1",-0.229199541927017,-0.044596699228578,"MCF7"
"HDAC","Tubacin","Myc",-0.137134684032924,1.59238742198919e-05,"MCF7"
"HDAC","Tubacin","Nras",0.02271969263692,0.00553862714532993,"MCF7"
"HDAC","Tubacin","P53",0.23904060874126,0.0571177020622,"MCF7"
"HDAC","Tubacin","Rab7a",-0.096286859396552,-0.031912282679373,"MCF7"
"HDAC","Tubacin","RhoA",-0.09702394681196,0.04250566580557,"MCF7"
"HDAC","Tubacin","Rpap3",0.00873805190370991,-0.021507061633957,"MCF7"
"HDAC","Tubacin","Sec16a",-0.15556432706672,-0.010936292573211,"MCF7"
"HDAC","Tubacin","Slc2a1",0.0996557234856199,0.45572961668838,"MCF7"
"Methylase","3-Deazaneplanocin A","Canx",-0.221545907000693,-0.05178501071791,"MCF7"
"Methylase","3-Deazaneplanocin A","Dnajc5",-0.075090349870829,-0.019000732164542,"MCF7"
"Methylase","3-Deazaneplanocin A","Egfr",0.12218848343984,-0.013067109112596,"MCF7"
"Methylase","3-Deazaneplanocin A","Errfi1",0.19883790246012,0.01528855438712,"MCF7"
"Methylase","3-Deazaneplanocin A","Gapdh",0.19983127097764,0.0686340193161099,"MCF7"
"Methylase","3-Deazaneplanocin A","Kpnb1",0.1007358513113,-0.00893413145822897,"MCF7"
"Methylase","3-Deazaneplanocin A","Myc",0.19223110685828,0.0681254240162801,"MCF7"
"Methylase","3-Deazaneplanocin A","Nras",-0.02152858915408,0.00297685000542991,"MCF7"
"Methylase","3-Deazaneplanocin A","P53",-0.137659532438582,-0.013042567326064,"MCF7"
"Methylase","3-Deazaneplanocin A","Rab7a",-0.097789278625547,-0.071605444124259,"MCF7"
"Methylase","3-Deazaneplanocin A","RhoA",0.0385919620773001,0.0459058096454601,"MCF7"
"Methylase","3-Deazaneplanocin A","Rpap3",-0.197452816316954,-0.049979151280541,"MCF7"
"Methylase","3-Deazaneplanocin A","Sec16a",-0.070982694530329,-0.028173694165504,"MCF7"
"Methylase","3-Deazaneplanocin A","Slc2a1",-0.056785847100089,0.33084775851315,"MCF7"
"Methylase","Sinefungin","Canx",-0.233119322434212,-0.041390523971353,"MCF7"
"Methylase","Sinefungin","Dnajc5",0.01060791706215,-0.027124553618436,"MCF7"
"Methylase","Sinefungin","Egfr",0.0644625075806999,-0.02346152625756,"MCF7"
"Methylase","Sinefungin","Errfi1",0.0769095591133899,0.00206243680697993,"MCF7"
"Methylase","Sinefungin","Gapdh",-0.160561387776796,0.0101660398975101,"MCF7"
"Methylase","Sinefungin","Kpnb1",-0.11785869966656,-0.030032907294402,"MCF7"
"Methylase","Sinefungin","Myc",-0.044950009468164,0.00613379578173001,"MCF7"
"Methylase","Sinefungin","Nras",0.23216640238413,-0.00718288158774005,"MCF7"
"Methylase","Sinefungin","P53",0.18323793103429,0.0724580036247899,"MCF7"
"Methylase","Sinefungin","Rab7a",-0.067990030579063,-0.011822675841895,"MCF7"
"Methylase","Sinefungin","RhoA",0.0807188167973001,0.08917771781832,"MCF7"
"Methylase","Sinefungin","Rpap3",-0.284058883381565,-0.068753082699881,"MCF7"
"Methylase","Sinefungin","Sec16a",-0.00847736259781595,0.00132308218437993,"MCF7"
"Methylase","Sinefungin","Slc2a1",-0.025245849531647,0.61824130454075,"MCF7"
"HDAC","Scriptaid","Canx",-0.479395023506547,-0.145471915828114,"MCF7"
"HDAC","Scriptaid","Dnajc5",-0.564395748648984,-0.18344886059698,"MCF7"
"HDAC","Scriptaid","Egfr",-0.41375439653461,-0.21693681223315,"MCF7"
"HDAC","Scriptaid","Errfi1",-0.317495829283288,-0.06992495599181,"MCF7"
"HDAC","Scriptaid","Gapdh",0.38111696254204,0.03441021559374,"MCF7"
"HDAC","Scriptaid","Kpnb1",-0.494925427030488,-0.207331805095584,"MCF7"
"HDAC","Scriptaid","Myc",-0.493516334701905,-0.211496283894854,"MCF7"
"HDAC","Scriptaid","Nras",0.38366509596181,-0.072337746916193,"MCF7"
"HDAC","Scriptaid","P53",0.06452321415764,-0.045956268244721,"MCF7"
"HDAC","Scriptaid","Rab7a",-0.297021839555675,-0.05252676738507,"MCF7"
"HDAC","Scriptaid","RhoA",-0.115122986607088,0.00032103676101003,"MCF7"
"HDAC","Scriptaid","Rpap3",-0.162776671183395,-0.06253456978801,"MCF7"
"HDAC","Scriptaid","Sec16a",-0.5303604694893,-0.140619541755382,"MCF7"
"HDAC","Scriptaid","Slc2a1",-0.379729654605777,-0.107923172150089,"MCF7"
"HDAC","Apicidin","Canx",-0.457167634715041,-0.12301951044359,"MCF7"
"HDAC","Apicidin","Dnajc5",-0.353585891722858,-0.078508179772737,"MCF7"
"HDAC","Apicidin","Egfr",-0.359803386111537,-0.25179677508811,"MCF7"
"HDAC","Apicidin","Errfi1",-0.471801626523373,-0.044147874043861,"MCF7"
"HDAC","Apicidin","Gapdh",3.76844096652846,0.43389899166601,"MCF7"
"HDAC","Apicidin","Kpnb1",-0.600570838683657,-0.264890899242779,"MCF7"
"HDAC","Apicidin","Myc",-0.566200116500627,-0.262019354124116,"MCF7"
"HDAC","Apicidin","Nras",-0.393957740791998,-0.081863961229427,"MCF7"
"HDAC","Apicidin","P53",-0.111000489624632,-0.061724634530621,"MCF7"
"HDAC","Apicidin","Rab7a",-0.272835495842055,-0.082661570586878,"MCF7"
"HDAC","Apicidin","RhoA",0.00269636433574005,0.0329287884843701,"MCF7"
"HDAC","Apicidin","Rpap3",0.10218498195354,-0.067255432031607,"MCF7"
"HDAC","Apicidin","Sec16a",-0.313438521251722,-0.053761006534739,"MCF7"
"HDAC","Apicidin","Slc2a1",-0.216288609698069,-0.091895503012267,"MCF7"
"HDAC","HC Toxin","Canx",-0.398625235891025,-0.130695517322301,"MCF7"
